batch,trial,started_at_unix_ms,absent_probe,t_total_us,build_us,head_wire_us,sync_wire_us,answer_wire_us,setup_wire_us,finish_us,residual_us,rewind_us,decode_us,delta_apply_us,scan_us,server_compute_ns,server_handler_ns,query_bytes,response_bytes,response_content_length,setup_bytes,at_block,pinned_block,stale_blocks,delta_cells,found,provider_match,provider_hex_match,provider_error,provider_rtt_us,client_rss_bytes,attempts,error
1,102,1788395936847,0,3949115,80548,234962,0,3611259,0,21907,439,6390,15497,8,6,610316713,610539293,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,103902,,1,
1,103,1788395941403,0,2624845,83642,294347,0,2227184,0,19230,442,5571,13642,5,6,612262302,612507772,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,113995,,1,
1,104,1788395944644,0,2608421,85803,238926,0,2259675,0,23632,385,6083,17531,5,6,610530353,610768443,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,101555,,1,
1,105,1788395947855,0,2470256,73026,239247,0,2132894,0,24659,430,5743,18897,6,6,610497304,610764704,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,101807,,1,
1,106,1788395950930,0,2563711,81027,236693,0,2222656,0,22695,640,7556,15119,5,6,610258108,610481148,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,101634,,1,
1,107,1788395954098,0,2700408,82203,297583,0,2307113,0,13269,240,2267,10989,5,2,609499482,609719582,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,102168,,1,
1,108,1788395957402,0,2386181,80632,269663,0,2019896,0,15723,267,3745,11964,4,4,608659093,608890673,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,102089,,1,
1,109,1788395960392,0,2421157,81438,250632,0,2070563,0,18099,425,6433,11648,6,6,609002779,609234389,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,103556,,1,
1,110,1788395963418,0,2470467,80673,252820,0,2113667,0,22863,444,4578,18269,4,5,612036823,612278833,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,102391,1155710976,1,
1,111,1788395966497,1,2698740,72841,235907,0,2369929,0,19689,374,4613,15061,4,5,611970583,612219473,435083,434387,434387,0,25893165,25892719,446,566521,0,1,1,,103939,,1,
1,112,1788395969801,0,2034285,83260,250974,0,1676520,0,23181,350,5870,17289,7,5,609302467,609573357,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,113804,,1,
1,113,1788395972452,0,1974821,59783,237194,0,1657403,0,20069,372,5154,14898,5,5,609811640,610067820,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,104236,,1,
